amc,folio,pan,scheme,advisor,rta,amfi,date,description,amount,units,nav,balance,type,dividend
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,07-Dec-2010,Purchase - SIP,5000.0,243.549,20.5297,243.549,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Jan-2011,Purchase - SIP,5000.0,244.544,20.4462,488.093,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Feb-2011,Purchase - SIP,5000.0,246.548,20.2801,734.641,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,07-Mar-2011,Purchase - SIP,5000.0,251.377,19.8904,986.019,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Apr-2011,Purchase - SIP,5000.0,250.436,19.9651,1236.455,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Apr-2011,STT TAX,2.5,0.0,,1236.455,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-May-2011,Purchase - SIP,5000.0,245.028,20.4058,1481.483,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Jun-2011,Purchase - SIP,5000.0,239.624,20.866,1721.107,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Jun-2011,STAMP DUTY,2.5,0.0,,1721.107,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Jul-2011,Purchase - SIP,5000.0,234.427,21.3286,1955.534,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Jul-2011,STT TAX,2.5,0.0,,1955.534,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,04-Aug-2011,Purchase - SIP,5000.0,228.532,21.8787,2184.067,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Sep-2011,Purchase - SIP,5000.0,225.838,22.1398,2409.905,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Sep-2011,Dividend Paid,1204.95,0.0,,2409.905,DIVIDEND_PAYOUT,1204.95
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Oct-2011,Purchase - SIP,5000.0,221.329,22.5908,2631.234,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,02-Nov-2011,Purchase - SIP,5000.0,219.649,22.7636,2850.883,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,02-Nov-2011,STAMP DUTY,2.5,0.0,,2850.883,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,02-Dec-2011,Purchase - SIP,5000.0,216.882,23.054,3067.765,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,01-Jan-2012,Purchase - SIP,5000.0,216.617,23.0822,3284.382,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,31-Jan-2012,Purchase - SIP,5000.0,211.263,23.6672,3495.645,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,01-Mar-2012,Purchase - SIP,5000.0,213.696,23.3977,3709.342,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,01-Mar-2012,STAMP DUTY,2.5,0.0,,3709.342,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,31-Mar-2012,Purchase - SIP,5000.0,212.811,23.495,3922.153,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-Apr-2012,Purchase - SIP,5000.0,212.286,23.5531,4134.439,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-May-2012,Purchase - SIP,5000.0,215.756,23.1743,4350.196,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-Jun-2012,Purchase - SIP,5000.0,211.049,23.6912,4561.244,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-Jul-2012,Purchase - SIP,5000.0,209.119,23.9098,4770.364,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,28-Aug-2012,Purchase - SIP,5000.0,204.659,24.4309,4975.023,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,27-Sep-2012,Purchase - SIP,5000.0,205.044,24.3851,5180.066,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,27-Sep-2012,STAMP DUTY,2.5,0.0,,5180.066,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,27-Oct-2012,Purchase - SIP,5000.0,205.163,24.3709,5385.229,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,26-Nov-2012,Purchase - SIP,5000.0,207.072,24.1462,5592.301,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,26-Dec-2012,Purchase - SIP,5000.0,203.879,24.5243,5796.18,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,25-Jan-2013,Purchase - SIP,5000.0,200.583,24.9273,5996.763,PURCHASE_SIP,
